Cohort studies,Please see https://www.ohri.ca/programs/clinical_epidemiology/oxford.asp for scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note A study can be awarded a maximum of one star for each numbered item within the Selection and Outcome categories. A maximum of two stars can be given for Comparability
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection  ,"Fine, 1988","Rimoin, 2010","Jezek, 1986 JID)",Jezek 1986 (AJE),Arbel 2022,Arita 1985,"Payne I (till Sept), 2022","Payne I (till oct), 2022",Breman 1980,Thy 2022,Gross 2003,Besombes 2019,Bertran 2023,Besombes 2022,,Hunh 2005,Jezek 1987 JID,Rosen 2023 (PEP NYC),"Sagy, Zucker 2023",Hoffman 2022,Jezek 1988 (Trop Geo),Jezek 1988 (WHO),Kalthan 2018,Karem 2007,Kroger 2023,Likos 2004,McCollum 2015,Merad 2022,Nolen 2015 (household contact portion),Tarin-Vicentce 2022,van Ewijk 2022,Vaughan 2022,Whitehouse 2021,Ghosn 2023,Titanji 2023,Pittman 2023,Zucker 2023,Lipsitch,Harza 2022,Faherty 2023,Jamard 2023,Candela 2023,Rekik 2022,Agusti 2023,Dou 2023,Eser-Karlidag 2023,Estevez 2023,Faherty 2023,Fontan-Vela 2023,Morales 2023,Schildhauer 2023,Van Ewijk 2023 (Vaccine),Eustaquio 2023,Ramchandani 2023,Maronese 2023,Garcia-Hernadez 2023,Silva 2023 (AIDS),Silva 2023 (Lancet regional)
Representativeness of the exposed cohort,B,B,A,B,A,B,B,A,B ,A,C,B ,B,B,,C,B,A,A,A,A,A,B,B,A,B,B,A,B,A,A,A,A,D,B,C (low N vaccinated),A,A,B,B,B,B,D,B,B,B,A,B,A,A,A,A,A,A,B,B,A,A
Selection of the non exposed cohort,A,A,A,A,A ,A ,B,B,A,C,C,A,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Ascertainment of exposure,A,A,A,A,A ,D,"A,B","A,B",D,A,C,D,C,D (based on age),,A and B,A,A,A,D,B,D (vaccination scar),C (vaccination scar),B,C,B,B,B,B,B,B,D,C (age only) ,D,A,D,A,A,A,A,A,D,A,C,B,B,D,D,A,A,A,A,A,A,D,A,D (assumption on age),D (assumption on age)
Demonstration that outcome of interest was not present at start of study,A,A,A,A,A,A ,A  ,A,D,B,A,A,B,A,,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,D,A,A
Comparability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comparability of cohorts on the basis of the design or analysis: study controls for age, immune suppressed status",,,,no,A ,controls not listed,yes (weeks),yes (week),no,no,no,no,no,no,,yes,no,yes (exposure risk),yes,no,no,no,no,no," (univaritate age, HIV)",no,no,no,no,no,yes (Age),yes (age),no,unclear controls,age,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes (week, age, region in poisson)",yes,no,no,no,yes,yes (concurrent STI),no,no,no
Study controls for any additional factor,B (enviroment- households vs. outside),B heath zones,"B (age, household or other)",no,Y (STIs),controls not listed, no,no,no,no,no,no,no,no,,yes,no,Yes(race/ethnicity),yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unclear controls,"sex, HIV",no,no,no,no,no,no,no,no,no,no,no,no,no,"yes (week, age, region in poisson)",no (don't note what control for),no,no,no,yes,no,no,no,no
Outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment of outcome ,B,B,B ,B,B,D,B,B,D,B,D,D,B,B,,B,A,A,B,B,B lab confirmation,A,A,B,B,B,c (outbreak follow up),B,B,A,A,D,B,D,A,D (unclear if reviewers blind to vaccine history),B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Was follow-up long enough for outcomes to occur,A,b( time period unknown),A (every one or two weeks),A,A,A ,A,A,D,A,B,A,A,A,,B (follow up time not mentioned),A,A,A,B (unclear follow up time),A,A,B (follow up time not stated),A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A ,A,A,A,A,A,A
Adequacy of follow up of cohorts,B,c(budegtary restrictions) ,A,A,D,D,C,C,D,D,D,B,A,D,,A,A,A,D,D (unclear % completion of records),A,A,D,A,B,A,A,A,D,A,D,D,B,D,D,A,A,D,A,A,A,A,A,C,D,D,D,D,A,A,A,A ,A,A,D,D,D,D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total stars,8,6,8,7,8,5,7,7,3,4,1,5,5,5,,8,7,9,8,4,6,6,4,7,7,8,6,7,6,7,7,4,6,3 (conference abstract),8,4,7,5,7,7,8,7,7,5,6,6,3,5,9,8,7,7,7,9,6,5,5,5
