"Effect.Measure.v.descriptive","PMID","First.Author","Published","Year.Published","Include.area","Study.Funding.source.s.","Possible.Conflict.of.interest.for.study.authors","Study.purpose","Study.type","Vaccine.type","Vaccine.strategy","Number.doses.MVA.BN","Subcutaneous.or.intradermal.MVA.BN","Intervention.status","Dates.of.Outbreak","Country.of.outbreak","Population.description","Inclusion.Criteria","Exclusion.Criteria","Total.cohort.size.or.close.contact.pool","Case.report.forms.Complete.information..n.","Total.Cases.in.case.control","Total.control.in.case.control","loss.to.follow.up","Total.number.vaccinated.people","Historic.smallpox","PEP.or...14.days.after.1.dose","..1.dose.MVA.BN.vaccine.or.partially.vaccinated","..2.dose.MVA.BN.vaccine.or.fully.vaccinated","Subcutaneous","Intradermal","heterologous","Total.number.unvaccinated.people","unknown.vaccine.status","Episodes.outbreaks","Total.mpox.Cases","Total.vaccinated.mpox.cases","Total.vaccinated.mpox.historic.1st.gen.cases","Total.vaccinated.mpox.historic.2nd.gen.cases","Total.vaccinated.mpox.PEP.cases","Total.vaccinated.mpox.non.PEP.1.dose.cases","Total.vaccinated.mpox.2.dose","Total.unvaccinated.mpox.cases","Total.vaccinated.mpox.controls","Total.unvaccinated.mpox.controls","Notes.N","Measure..HR..IRR..RR..cumulative.incidence..attack.rate.etc.","..95..CI...67","Effect.measure","Dose","Adjusted","VE.type","Sensitivity","VE.outcome","Lower.CI","Upper.CI","Central.Effect.Estimate.reported","Effect.Est.lower.95.CI","Effect.Est.upper.95.CI","Regression.Coefficient","Regression.Coefficient.lower.95..CI","Regression.Coefficient.upper.95..CI","Vaccinated.secondary.cases","Unvaccinated.secondary.cases","Vaccinated.Contacts","Unvaccinated.Contacts","Vaccinated.or.cases.event","n.vaccinated.or.cases","unvaccinated..or.controls.event","n.unvaccinated.or.controls","unknown.or.missing.event.vaccinated","unknown.or.missing.total.n","Person.days.vaccinated","events.vaccinated","Person.days.unvaccinated","events.unvaccinated","crude.VE","..95..CI...97","Mean.vaccinated","sd.vaccinated","Mean.unvaccinated","sd.unvaccinated","Median.vaccinated","Lower.IQR.vaccinated","Upper.IQR.vaccinated","Median.unvaccinated","Lower.IQR.unvaccinated","Upper.IQR.unvaccinated","Controlled.for","Timing.of.measure","Cohort.Age...median.or.description.","Cohort.IQR.Age.lower","Cohort.IQR.Age.higher","Cohort.age.mean","Cohort.age.sd","Cohort.vaccinated.age.median","Cohort.unvaccinated.age.median","Cohort.unvaccinated.age.IQR","Cohort.unvaccinated.age.mean","Cohort.unvaccinated.age.sd","Cohort.age.unvaccinated..median","Cohort.age.unvaccinated.IQR","Cohort.age.vaccinated..mean","Cohort.age.vaccinated.sd","Monkeypox.cases.Age...median.","Monkeypox.cases.IQR.Age.lower","Monkeypox.cases.IQR.Age.higher","Monkeypox.controls.Age...median.","Monkeypox.controls.IQR.Age.lower","Monkeypox.controls.IQR.Age.higher","Cohort.cis.male.n","vaccinated..Male.n","unvaccinated..Male.n","cohort.MSM.n","vaccinated..MSM.n","unvaccinated.MSM.n","Monkeypox.cases.vaccinated.MSM.n","Monkeypox.cases.unvaccinated.MSM.n","Monkeypox.cases.vaccinated.non.MSM.n","Monkeypox.cases.unvaccinated.non.MSM.n","n.Non.Hispanic.White","Hispanic.Latino.n","Black.n....presumed","n.Known.HIV.status","n.HIV.positive","n.HIV.positive.vaccinated","n.HIV.positive.unvaccinated","n.CD4..200","n.VL...200","n.VL..50","n.PrEP.users","n.PrEP.users.vaccinated","n.PrEP.users.unvaccinated","n.Known.Hospital.status","n.Hospitalized","n.Hospitalized.vaccinated","n.Hospitalized.unvaccinated","n.not.hospitalized.vaccinated","n.not.hospitalized.unvaccinated","Limitations","...682","Internal.notes.for.coding"
"1","35623380","Adler","Lancet Infectious Diseases",2022,"Severity","None","No","Describe longitudinal clinical course of monkeypox in high-income setting with viral dynamic and adverse effects to novel antivirals","retrospective case series","MVA-BN","PEP","1","Subcutaneous",NA,"Aug 15, 2018- Sept 10, 2021","UK","British population","positive mpox infection","N/A","7",7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,"1","7","1",NA,NA,NA,NA,NA,"6",NA,NA,NA,"OR",NA,NA,"1","N","1 dose MBA-BN PEP severity N lesions","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,71.6,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ages only given by decade","Ages only given by decade",NA,NA,NA,"Ages only given by decade","Ages only given by decade",NA,NA,"Ages only given by decade","Ages only given by decade","Ages only given by decade",NA,NA,NA,NA,NA,"4","0",4,"0","0","0",NA,NA,NA,NA,NA,NA,NA,"6","0","0","0","0",0,"0","0","0","0","7","7","1","6","0","0","Observational study- small number, short time frame for follow-up. Also their was an inability to confirm positive PCR results with viral culture. This made it very difficult to determine if the individual was shedding the virus.",NA,NA
"8","36924787","Bertran","Lancet Inf Disease",2023,"Infection","UK Health Security Agency","None","""observational study which aimed to
estimate the effectiveness of one dose of MVA–BN
against symptomatic mpox in England.""","Case-coverage study","MVA-BN","PEP, vaccination prior to exposure","1","subcutaneous","Aggregated vaccination coverage reporting system from NHS England and self-completed questionnaire from confirmed and highly-probably cases","July 4 -Oct 9 2022","England","Gay or MSM in England","Cases with an index date July 4, 2022- Oct 9, 2022","Women, heterosexual men, and those with missing vaccination information were excluded.","363",363,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",95,"VE","1","N","1 dose MVA-BN","N","0.78","0.54","0.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"at least 14 days after 1st dose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","37199451","Deputy","NEJM",2023,"Infection","CDC, Epic","Employment at Epic","Vaccine effectiveness","Case-Control","MVA-BN","PEP, vaccination prior to exposure","1, 2","both","Electronic health records vis Epic program Cosmos (>169 million patient records across the U.S.)","Aug 15- Nov 19, 2022","USA","Patients with an mpox diagnosis or positive Orthopoxvirus or mpox virus laboratory result from 8/15 - 11/19/2022 in all 50 states of the United States","Part of Epic EHR (serves > 169 million US patients): Case: any gender identity and age with initial mpox diagnosis code or positive Orthopoxvirus or MPXV laboratory test during study period; Controls incidence clinical HIV diagnosis or new positive HIV antigen/antibody test or new or refill of HIV PrEP with in-person clinic visit during study period","previous mpox diagnosis or positive Orthopoxvirus or MPXV laboratory test from August 15 2021 to August 14 2022, no in person medical encounters 3 years before index event, controls with prescription for tecovirimat 14 days before index event to end of study period, 2 vaccines given < 24 days apart, received 1 dose less than 14 days before index event","11232",11232,2193,8319,NA,1506,NA,NA,1146,360,69,47,158,10872,NA,"1","2193","86",NA,NA,NA,58,28,"223",415,193,NA,"OR",95,"VE","2","Y","2 dose MVA-BN","N","0.66","0.47399999999999998","0.78100000000000003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, race/ethnicity, social vulnerability, immune compromised state",NA,"cases: 18-35 1252 (55.3%), 36-49 707 (31.2%), 50-64 273 (12%), >= 65 ; Controls 18-35 4,221(48.8%), 36-49 2,434 (28.1%), 50-64 1,619 (18.7%), >= 65 375 (4.3%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89.2% cases and 89.2% female",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35% cases, 55.5% controls","22.1% cases, 17.6% controls","36% cases, 17.9% controls","37.9% cases, 16.3% controls","37.9% cases, 16.3% controls;",NA,NA,"9.4% with CD4<200 in cases and 2.9% in controls",NA,NA,"13.5% case, 100% controls in those without HIV infection",NA,NA,NA,NA,NA,NA,NA,NA,"small populations in small analysis, misclassification, under ascertainment",NA,NA
"33","37200229","Dalton","MMWR",2023,"Infection","CDC","Some study authors on safety monitoring boards of pharmaceutical companies, none for Bavarian Nordic","VE of full and partial vaccination MVA-Bn","Case-Control,","MVA-BN","vaccination prior to exposure","1,2","subcutaneous, intradermal, heterologous","vacciantion from state immunization registries","Aug 19, 2022 - March 31, 2023","USA","Sexually active MSM or transgender aged 18-49 in 12 U.S. jurisdictions","cases probable and confirmed mpox cases Mpox virus or Orthopoxvirus diagnosis on or after Aug 19,2022, controls, identified from healthcare setting providing HIV care, HIV PrEP or STI clinics without mpox diagnosis","restricted to sexually active persons aged 18-49 who self-identified as MSMS or transgender, excluding if first vaccine <= 14 days before index date","917",1127,309,608,NA,501,NA,NA,295,206,NA,NA,NA,416,NA,NA,"309","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",95,"VE","2","Y","2 dose MVA-BN","N","0.85899999999999999","0.73799999999999999","0.92400000000000004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, race, ethnicity, immunocompromising conditions and close contact with known mpox case, stratified by immunocompromised status and heterologous administration",NA,"Cases: 18-29 78 (25.2%),30-39 144 (46.6%), 40-49 87 (28.2%); controls 18-29 184 (30.3%), 30-39 87 (48.0%),  40-49 132 (21.7%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cases 94.2, control 89.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.1% cases, 47.9 % controls","32.4% cases, 23.4 controls","27.2 cases, 16.9 controls",NA,"48.1% cases PLW, 24.0% controls PLW",NA,NA,"21.4% cases, 20.4 % controls",NA,NA,"54.4% cases, 66.8% controls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","37339074","Rosenberg","MMWR",2023,"Infection","none noted","Ryan White part B, Center for AIDS Research Supplement for Designing Differentiated PrEP Service Models for Implementation in New York City Emergency Departments, PrEP-ED Community Collaborative","Estimate vaccine effectiveness of full and partial vaccination","Case Control","MVA-BN","PEP, vaccination prior to exposure","1,2","both (data insufficient to calculate VE by route)","immunization registry","July 24 - Oct 31 2022","USA","Adult Male Mpox cases or adult male STI cases in New York state outside of New York City","Cases: males at birth 18 years of age or older with laboratory-confirmed mpox whose specimens were collected July 24-Oct 31 2022, control patients males at birth 18 years of age or older with rectal gonorrhea or primary syphilis over the same time frame with presumed sexual contact with male or transgender person","for primary syphilis ecluded if no male-to-male sexual contact","507",507,252,255,NA,73,NA,19,33,21,NA,NA,NA,434,NA,"1","252","22",NA,NA,10,10,2,"230",NA,NA,NA,"OR",95,"VE","2","N","2 dose MVA-BN","N","0.88500000000000001","0.441","0.97599999999999998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"adjusted for diagnosis week, race, ethnicity, age, region in New York",NA,"case: 32.1 years (range = 18.5–66.4) ;  control: 31.3 (range 19.4–74.3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.1 (range 18.5-66.4",NA,NA,"31.3 (range 19.4-74.3)",NA,NA,"all M cohort",NA,NA,"all MSM cohort",NA,NA,NA,NA,NA,NA,"69 case, 90 controls","106 cases, 40 controls","48 cases, 68 control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","38218669","Rosen","Vaccine",2024,"Infection","none noted","NIH, Morris-Singer Fund, CDC","Determine PEP vaccine effectiveness of high-risk exposures","retrospective cohort with target trial emulation","MVA-BN","PEP","1","subcutaneous","immunization records and match or CIR (NYC Citywide Immunization Registry)","May 22- Aug 24, 2022","USA","18 years and older in NYC identified through DPH contact investigations to a case- patient with high or intermediate risk exposure to confirmed or probable  mpox with no vaccination or disease history prior to exposure","Receipt of 1st dose of MVA-BN <= 14 days after exposure and before symptom onset , case patient defined as individual who developed symptoms  <- 21 days after exposure with laboratory confirmation","missing symptom onset date and subsequently diagnosed with mpox, intradermal PEP, missing last exposure date, mpox disease on or prior to last exposure date, mpox vaccine given before last exposure date","594",594,NA,NA,NA,333,NA,333,NA,NA,333,NA,NA,261,NA,"1","39","10",NA,NA,10,NA,NA,"29",NA,NA,NA,"OR",95,"VE","1","Y","1 dose MVA-BN PEP < 14 days after last exposure (method 1: multivariable regression)","N","0.78","0.5","0.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14< days after last exposure","35","range 18-87",NA,NA,NA,NA,NA,"35 (range 19-76)",NA,NA,"35 (range 18-87)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"454","269",185,NA,NA,NA,NA,NA,NA,NA,"214","178","122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwip8pah09T-AhX-EVkFHauWCkEQFnoECAsQAQ&url=https%3A%2F%2Fwww.cdc.gov%2Fvaccines%2Facip%2Fmeetings%2Fdownloads%2Fslides-2023-02%2Fslides-02-22%2Fmpox-04-chard-508.pdf&usg=AOvVaw1lFnLLjVVxLSUYO85YIdNp"
"45","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Fever","N","0.56000000000000005","0.4","0.67999999999999994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,198,"2451",5266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"77","36874154","Hens","New Microbes Infection",2023,"Severity","Research Foundation Flanders","none stated","Describe characteristics of mpox cases in Belgian sexual health clinic","case-control","Historic smallpox vaccine, MVA-BN","PEP, vaccination prior to exposure",NA,"Subcutaneous","standardized electronic form","May 23-Sept 20, 2022","Belgium","patients of sexual health clinic seeking care for mpox","positive in-house PCR testing for cases, negative testing for controls","not stated","155",155,NA,NA,NA,40,33,5,2,NA,NA,NA,NA,136,25,"1","155","28",25,NA,1,2,NA,"102",NA,NA,"of unvaccinated mpox cases, 25 unknown vaccine status,  (25 historic, 1 PEP, 2 PrEP)","multivariable Beta",95,"VE","1","Y","Smallpox Childhood - CT PCR anorectal swab","N","3.0000000000000027E-2","-0.16666666666666663","0.21999999999999997","0.97","0.78","1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39 39 (IQR 33-46) mpox positive, 37 ( 31.0-46) mpox negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39","33",46,NA,NA,NA,"204 (99%)",NA,NA,"187 (90.8%), 144 (92.9%) mpox positive, 84.3% mpox negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53 ( 34.2%) mpox positive, 13 (25.5%)  mpox negative, 10 unknown in mpox positive, 5 unknown mpox negative,",NA,NA,NA,NA,NA,"of 93 negative mpox cases, 22 not using PrEP, 63 using PrEP, 8 unknown; of 33 HIV negative mpox negative, 9 not using PrEP, 21 using PrEP, 3 unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","36787016","Kroger","Infection",2023,"Severity","none","none","evaluate clinical epidemiologic characteristics of mpox in Cologne, Germany","Retrospective cohort","Historic smallpox vaccine, MVA-BN","PEP, vaccination prior to exposure",NA,NA,"detailed structural interview","May 24,2022- Oct 30 2022","Germany","persons with confirmed mpox detected by health department","PCR confirmed positive mpox infection","did not respond to questions or lived outside of Cologne and not followed by the health department","393",368,NA,NA,NA,129,96,19,14,NA,NA,NA,NA,239,NA,"1","368","129",96,NA,19,14,NA,"239",NA,NA,"6 both smallpox and MVA-BN, assumed to be PrEP","OR",95,"VE","NA","Y","Any vaccine hospitalized","N","0.77","-0.46524064171123003","0.97","0.23","0.03","1.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIV status and age",NA,"range 12-80",NA,NA,"41","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean 41, sd 10",NA,NA,NA,NA,NA,"367","33 with childhood smallpox, 19 MVA-BN PEP, 14 with PrEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"143",NA,NA,NA,NA,NA,NA,NA,NA,"368","13",NA,NA,NA,NA,NA,NA,NA
"Descriptive","36695469","Merad","Eurosurveillance",2022,"Infection","None noted","None","provide data on breakthrough mpox and investigate limitations of MVA-BN PEP","Cohort","MVA-BN","PEP","1","not specified","self-report","June 15-Aug 12, 2022","France","adults (18 years old) seeking MVA-BN vaccination at hospital","Consecutive adults 18 and older who received MVA-BN PEP with mpox exposure 14 days  or less after PEP","mpox symptoms before vaccination, time from contact to vaccination> 14 days, missing data, withdrew consent","130",108,NA,NA,NA,108,25,108,NA,NA,NA,NA,NA,NA,NA,"1","11","11",1,NA,11,NA,NA,NA,NA,NA,NA,"OR",95,"VE","1","N","MVA-BN PEP cycle threshold viral culture","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","29","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","28",36,NA,NA,NA,"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","15","3","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
