"Effect.Measure.v.descriptive","PMID","First.Author","Published","Year.Published","Include.area","Study.Funding.source.s.","Possible.Conflict.of.interest.for.study.authors","Study.purpose","Study.type","Vaccine.type","Vaccine.strategy","Number.doses.MVA.BN","Subcutaneous.or.intradermal.MVA.BN","Intervention.status","Dates.of.Outbreak","Country.of.outbreak","Population.description","Inclusion.Criteria","Exclusion.Criteria","Total.cohort.size.or.close.contact.pool","Case.report.forms.Complete.information..n.","Total.Cases.in.case.control","Total.control.in.case.control","loss.to.follow.up","Total.number.vaccinated.people","Historic.smallpox","PEP.or...14.days.after.1.dose","..1.dose.MVA.BN.vaccine.or.partially.vaccinated","..2.dose.MVA.BN.vaccine.or.fully.vaccinated","Subcutaneous","Intradermal","heterologous","Total.number.unvaccinated.people","unknown.vaccine.status","Episodes.outbreaks","Total.mpox.Cases","Total.vaccinated.mpox.cases","Total.vaccinated.mpox.historic.1st.gen.cases","Total.vaccinated.mpox.historic.2nd.gen.cases","Total.vaccinated.mpox.PEP.cases","Total.vaccinated.mpox.non.PEP.1.dose.cases","Total.vaccinated.mpox.2.dose","Total.unvaccinated.mpox.cases","Total.vaccinated.mpox.controls","Total.unvaccinated.mpox.controls","Notes.N","Measure..HR..IRR..RR..cumulative.incidence..attack.rate.etc.","..95..CI...67","Effect.measure","Dose","Adjusted","VE.type","Sensitivity","VE.outcome","Lower.CI","Upper.CI","Central.Effect.Estimate.reported","Effect.Est.lower.95.CI","Effect.Est.upper.95.CI","Regression.Coefficient","Regression.Coefficient.lower.95..CI","Regression.Coefficient.upper.95..CI","Vaccinated.secondary.cases","Unvaccinated.secondary.cases","Vaccinated.Contacts","Unvaccinated.Contacts","Vaccinated.or.cases.event","n.vaccinated.or.cases","unvaccinated..or.controls.event","n.unvaccinated.or.controls","unknown.or.missing.event.vaccinated","unknown.or.missing.total.n","Person.days.vaccinated","events.vaccinated","Person.days.unvaccinated","events.unvaccinated","crude.VE","..95..CI...97","Mean.vaccinated","sd.vaccinated","Mean.unvaccinated","sd.unvaccinated","Median.vaccinated","Lower.IQR.vaccinated","Upper.IQR.vaccinated","Median.unvaccinated","Lower.IQR.unvaccinated","Upper.IQR.unvaccinated","Controlled.for","Timing.of.measure","Cohort.Age...median.or.description.","Cohort.IQR.Age.lower","Cohort.IQR.Age.higher","Cohort.age.mean","Cohort.age.sd","Cohort.vaccinated.age.median","Cohort.unvaccinated.age.median","Cohort.unvaccinated.age.IQR","Cohort.unvaccinated.age.mean","Cohort.unvaccinated.age.sd","Cohort.age.unvaccinated..median","Cohort.age.unvaccinated.IQR","Cohort.age.vaccinated..mean","Cohort.age.vaccinated.sd","Monkeypox.cases.Age...median.","Monkeypox.cases.IQR.Age.lower","Monkeypox.cases.IQR.Age.higher","Monkeypox.controls.Age...median.","Monkeypox.controls.IQR.Age.lower","Monkeypox.controls.IQR.Age.higher","Cohort.cis.male.n","vaccinated..Male.n","unvaccinated..Male.n","cohort.MSM.n","vaccinated..MSM.n","unvaccinated.MSM.n","Monkeypox.cases.vaccinated.MSM.n","Monkeypox.cases.unvaccinated.MSM.n","Monkeypox.cases.vaccinated.non.MSM.n","Monkeypox.cases.unvaccinated.non.MSM.n","n.Non.Hispanic.White","Hispanic.Latino.n","Black.n....presumed","n.Known.HIV.status","n.HIV.positive","n.HIV.positive.vaccinated","n.HIV.positive.unvaccinated","n.CD4..200","n.VL...200","n.VL..50","n.PrEP.users","n.PrEP.users.vaccinated","n.PrEP.users.unvaccinated","n.Known.Hospital.status","n.Hospitalized","n.Hospitalized.vaccinated","n.Hospitalized.unvaccinated","n.not.hospitalized.vaccinated","n.not.hospitalized.unvaccinated","Limitations","...682","Internal.notes.for.coding"
"1","35623380","Adler","Lancet Infectious Diseases",2022,"Severity","None","No","Describe longitudinal clinical course of monkeypox in high-income setting with viral dynamic and adverse effects to novel antivirals","retrospective case series","MVA-BN","PEP","1","Subcutaneous",NA,"Aug 15, 2018- Sept 10, 2021","UK","British population","positive mpox infection","N/A","7",7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,"1","7","1",NA,NA,NA,NA,NA,"6",NA,NA,NA,"OR",NA,NA,"1","N","1 dose MBA-BN PEP severity N lesions","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,71.6,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ages only given by decade","Ages only given by decade",NA,NA,NA,"Ages only given by decade","Ages only given by decade",NA,NA,"Ages only given by decade","Ages only given by decade","Ages only given by decade",NA,NA,NA,NA,NA,"4","0",4,"0","0","0",NA,NA,NA,NA,NA,NA,NA,"6","0","0","0","0",0,"0","0","0","0","7","7","1","6","0","0","Observational study- small number, short time frame for follow-up. Also their was an inability to confirm positive PCR results with viral culture. This made it very difficult to determine if the individual was shedding the virus.",NA,NA
"8","36924787","Bertran","Lancet Inf Disease",2023,"Infection","UK Health Security Agency","None","""observational study which aimed to
estimate the effectiveness of one dose of MVA–BN
against symptomatic mpox in England.""","Case-coverage study","MVA-BN","PEP, vaccination prior to exposure","1","subcutaneous","Aggregated vaccination coverage reporting system from NHS England and self-completed questionnaire from confirmed and highly-probably cases","July 4 -Oct 9 2022","England","Gay or MSM in England","Cases with an index date July 4, 2022- Oct 9, 2022","Women, heterosexual men, and those with missing vaccination information were excluded.","363",363,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",95,"VE","1","N","1 dose MVA-BN","N","0.78","0.54","0.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"at least 14 days after 1st dose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","36924787","Bertran","Lancet Inf Disease",2023,"Infection","UK Health Security Agency","None","""observational study which aimed to
estimate the effectiveness of one dose of MVA–BN
against symptomatic mpox in England.""","Case-coverage study","MVA-BN","PEP, vaccination prior to exposure","1","subcutaneous","Aggregated vaccination coverage reporting system from NHS England and self-completed questionnaire from confirmed and highly-probably cases","July 4 -Oct 9 2023","England","Gay or MSM in England","Cases with an index date July 4, 2022- Oct 9, 2022","Women, heterosexual men, and those with missing vaccination information were excluded.","363",363,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",95,"VE","1","N","1 dose MVA-BN high coverage all ages sensitivity","Y","0.85","0.69","0.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"at least 14 days after 1st dose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","36924787","Bertran","Lancet Inf Disease",2023,"Infection","UK Health Security Agency","None","""observational study which aimed to
estimate the effectiveness of one dose of MVA–BN
against symptomatic mpox in England.""","Case-coverage study","MVA-BN","PEP, vaccination prior to exposure","1","subcutaneous","Aggregated vaccination coverage reporting system from NHS England and self-completed questionnaire from confirmed and highly-probably cases","July 4 -Oct 9 2024","England","Gay or MSM in England","Cases with an index date July 4, 2022- Oct 9, 2022","Women, heterosexual men, and those with missing vaccination information were excluded.","363",363,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",95,"VE","1","N","1 dose MVA-BN low coverage all ages sensitivity","Y","0.71","0.4","0.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"at least 14 days after 1st dose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","36924787","Bertran","Lancet Inf Disease",2023,"Infection","UK Health Security Agency","None","""observational study which aimed to
estimate the effectiveness of one dose of MVA–BN
against symptomatic mpox in England.""","Case-coverage study","MVA-BN","PEP, vaccination prior to exposure","1","subcutaneous","Aggregated vaccination coverage reporting system from NHS England and self-completed questionnaire from confirmed and highly-probably cases","July 4 -Oct 9 2025","England","Gay or MSM in England","Cases with an index date July 4, 2022- Oct 9, 2022","Women, heterosexual men, and those with missing vaccination information were excluded.","363",363,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",95,"VE","1","N","1 dose MVA-BN ls 50 sensitivity","Y","0.74","0.43","0.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"at least 14 days after 1st dose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","36924787","Bertran","Lancet Inf Disease",2023,"Infection","UK Health Security Agency","None","""observational study which aimed to
estimate the effectiveness of one dose of MVA–BN
against symptomatic mpox in England.""","Case-coverage study","MVA-BN","PEP, vaccination prior to exposure","1","subcutaneous","Aggregated vaccination coverage reporting system from NHS England and self-completed questionnaire from confirmed and highly-probably cases","July 4 -Oct 9 2026","England","Gay or MSM in England","Cases with an index date July 4, 2022- Oct 9, 2022","Women, heterosexual men, and those with missing vaccination information were excluded.","363",363,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",95,"VE","1","N","1 dose MVA-BN high coverage ls 50 sensitivity","Y","0.82","0.61","0.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"at least 14 days after 1st dose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","36924787","Bertran","Lancet Inf Disease",2023,"Infection","UK Health Security Agency","None","""observational study which aimed to
estimate the effectiveness of one dose of MVA–BN
against symptomatic mpox in England.""","Case-coverage study","MVA-BN","PEP, vaccination prior to exposure","1","subcutaneous","Aggregated vaccination coverage reporting system from NHS England and self-completed questionnaire from confirmed and highly-probably cases","July 4 -Oct 9 2027","England","Gay or MSM in England","Cases with an index date July 4, 2022- Oct 9, 2022","Women, heterosexual men, and those with missing vaccination information were excluded.","363",363,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",95,"VE","1","N","1 dose MVA-BN low coverage ls 50 sensitivity","Y","0.66","0.25","0.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"at least 14 days after 1st dose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","36924787","Bertran","Lancet Inf Disease",2023,"Infection","UK Health Security Agency","None","""observational study which aimed to
estimate the effectiveness of one dose of MVA–BN
against symptomatic mpox in England.""","Case-coverage study","MVA-BN","PEP, vaccination prior to exposure","1","subcutaneous","Aggregated vaccination coverage reporting system from NHS England and self-completed questionnaire from confirmed and highly-probably cases","July 4 -Oct 9 2028","England","Gay or MSM in England","Cases with an index date July 4, 2022- Oct 9, 2022","Women, heterosexual men, and those with missing vaccination information were excluded.","363",363,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",95,"VE","1","Y","1 dose MVA-BN 0-13 days","N","-0.04","-0.5","0.28999999999999998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-13 days after 1st dose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","36924787","Bertran","Lancet Inf Disease",2023,"Infection","UK Health Security Agency","None","""observational study which aimed to
estimate the effectiveness of one dose of MVA–BN
against symptomatic mpox in England.""","Case-coverage study","MVA-BN","PEP, vaccination prior to exposure","1","subcutaneous","Aggregated vaccination coverage reporting system from NHS England and self-completed questionnaire from confirmed and highly-probably cases","July 4 -Oct 9 2029","England","Gay or MSM in England","Cases with an index date July 4, 2022- Oct 9, 2022","Women, heterosexual men, and those with missing vaccination information were excluded.","363",363,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",95,"VE","1","Y","1 dose MVA-BN 0-13 days high coverage","Y","0.23","-0.11","0.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-13 days after 1st dose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","36924787","Bertran","Lancet Inf Disease",2023,"Infection","UK Health Security Agency","None","""observational study which aimed to
estimate the effectiveness of one dose of MVA–BN
against symptomatic mpox in England.""","Case-coverage study","MVA-BN","PEP, vaccination prior to exposure","1","subcutaneous","Aggregated vaccination coverage reporting system from NHS England and self-completed questionnaire from confirmed and highly-probably cases","July 4 -Oct 9 2030","England","Gay or MSM in England","Cases with an index date July 4, 2022- Oct 9, 2022","Women, heterosexual men, and those with missing vaccination information were excluded.","363",363,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",95,"VE","1","Y","1 dose MVA-BN  0-13 days low coverage","Y","-0.3","-0.89","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-13 days after 1st dose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
